5.1227; 5.1237;0.0728;1.44;5.127;5.0509;1675440750;2023-02-03 13:12:30 
5.1246; 5.1276;0.0757;1.5;5.127;5.0509;1675441123;2023-02-03 13:18:43 
5.1247; 5.1259;0.0749;1.48;5.127;5.0509;1675441138;2023-02-03 13:18:58 
5.1251; 5.1281;0.0762;1.51;5.127;5.0509;1675441177;2023-02-03 13:19:37 
5.1246; 5.1276;0.0757;1.5;5.127;5.0509;1675441185;2023-02-03 13:19:45 
5.1223; 5.1253;0.0734;1.45;5.127;5.0509;1675441373;2023-02-03 13:22:53 
5.1241; 5.1271;0.0752;1.49;5.127;5.0509;1675441406;2023-02-03 13:23:26 
5.1239; 5.1255;0.0743;1.47;5.127;5.0509;1675441434;2023-02-03 13:23:54 
5.125; 5.127;0.0756;1.5;5.127;5.0509;1675441456;2023-02-03 13:24:16 
5.1254; 5.1265;0.0755;1.5;5.127;5.0509;1675441521;2023-02-03 13:25:21 
5.1254; 5.1265;0.0755;1.5;5.127;5.0509;1675441521;2023-02-03 13:25:21 
5.1238; 5.1268;0.0749;1.48;5.127;5.0509;1675441530;2023-02-03 13:25:30 
5.1238; 5.1268;0.0749;1.48;5.127;5.0509;1675441530;2023-02-03 13:25:30 
5.1238; 5.1268;0.0749;1.48;5.127;5.0509;1675441530;2023-02-03 13:25:30 
5.1254; 5.1265;0.0755;1.5;5.127;5.0509;1675441521;2023-02-03 13:25:21 
5.1238; 5.1268;0.0749;1.48;5.127;5.0509;1675441530;2023-02-03 13:25:30 
5.1238; 5.1268;0.0749;1.48;5.127;5.0509;1675441530;2023-02-03 13:25:30 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1238; 5.1268;0.0749;1.48;5.127;5.0509;1675441530;2023-02-03 13:25:30 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1257; 5.1262;0.0755;1.5;5.127;5.0509;1675441544;2023-02-03 13:25:44 
5.1337; 5.1342;0.0836;1.65;5.1375;5.0509;1675443452;2023-02-03 13:57:32 
5.1332; 5.1344;0.0834;1.65;5.1375;5.0509;1675443481;2023-02-03 13:58:01 
5.1329; 5.134;0.0831;1.64;5.1375;5.0509;1675443515;2023-02-03 13:58:35 
5.1337; 5.1342;0.0836;1.65;5.1375;5.0509;1675443544;2023-02-03 13:59:04 
5.1331; 5.1361;0.0842;1.67;5.1375;5.0509;1675443578;2023-02-03 13:59:38 
5.1327; 5.1339;0.0829;1.64;5.1375;5.0509;1675443615;2023-02-03 14:00:15 
5.1352; 5.1359;0.0852;1.69;5.1375;5.0509;1675443638;2023-02-03 14:00:38 
5.1344; 5.1355;0.0846;1.67;5.1375;5.0509;1675443677;2023-02-03 14:01:17 
5.1338; 5.1368;0.0849;1.68;5.1375;5.0509;1675443705;2023-02-03 14:01:45 
5.1344; 5.1355;0.0846;1.67;5.1375;5.0509;1675443728;2023-02-03 14:02:08 
5.1332; 5.1344;0.0834;1.65;5.1375;5.0509;1675443758;2023-02-03 14:02:38 
5.1327; 5.1337;0.0828;1.64;5.1375;5.0509;1675443825;2023-02-03 14:03:45 
5.1337; 5.1349;0.0839;1.66;5.1375;5.0509;1675443864;2023-02-03 14:04:24 
5.1321; 5.1351;0.0832;1.65;5.1375;5.0509;1675443926;2023-02-03 14:05:26 
5.1327; 5.1337;0.0828;1.64;5.1375;5.0509;1675443942;2023-02-03 14:05:42 
5.1327; 5.1337;0.0828;1.64;5.1375;5.0509;1675443942;2023-02-03 14:05:42 
5.1317; 5.1324;0.0816;1.62;5.1375;5.0509;1675443978;2023-02-03 14:06:18 
5.1319; 5.133;0.0821;1.62;5.1375;5.0509;1675444008;2023-02-03 14:06:48 
5.1327; 5.1337;0.0828;1.64;5.1375;5.0509;1675444041;2023-02-03 14:07:21 
